frame.time_epoch,frame.len,ip.src,ip.dst,tcp.srcport,tcp.dstport,tcp.flags,ftp.request.command,ftp.request.arg,ftp.response.code,ftp.response.arg
1765974768.7060769,81,192.168.189.133,192.168.189.1,0,0,,,,0,
1765974768.7062457,81,192.168.189.133,192.168.189.1,0,0,,,,0,
1765974770.7540069,74,192.168.189.133,192.168.189.128,43009,21,S,,,0,
1765974770.756705,74,192.168.189.128,192.168.189.133,21,43009,SA,,,0,
1765974770.7567642,66,192.168.189.133,192.168.189.128,43009,21,A,,,0,
1765974770.7622263,86,192.168.189.128,192.168.189.133,21,43009,PA,,,220,(vsFTPd 2.3.4)
1765974770.7622643,66,192.168.189.133,192.168.189.128,43009,21,A,,,0,
1765974770.7626836,82,192.168.189.133,192.168.189.128,43009,21,PA,USER,anonymous,0,
1765974770.7634559,66,192.168.189.128,192.168.189.133,21,43009,A,,,0,
1765974770.7634559,100,192.168.189.128,192.168.189.133,21,43009,PA,,,331,Please specify the password.
1765974770.7636316,82,192.168.189.133,192.168.189.128,43009,21,PA,PASS,anonymous,0,
1765974770.7651203,89,192.168.189.128,192.168.189.133,21,43009,PA,,,230,Login successful.
1765974770.7652624,66,192.168.189.133,192.168.189.128,43009,21,FA,,,0,
1765974770.7663465,76,192.168.189.128,192.168.189.133,21,43009,PA,,,500,OOPS:
1765974770.7663467,96,192.168.189.128,192.168.189.133,21,43009,PA,,,0,
1765974770.7663467,68,192.168.189.128,192.168.189.133,21,43009,PA,,,0,
1765974770.7664,54,192.168.189.133,192.168.189.128,43009,21,R,,,0,
1765974770.7664726,54,192.168.189.133,192.168.189.128,43009,21,R,,,0,
1765974770.7665834,54,192.168.189.133,192.168.189.128,43009,21,R,,,0,
1765974771.3895323,74,192.168.189.133,192.168.189.128,38285,21,S,,,0,
1765974771.392325,74,192.168.189.128,192.168.189.133,21,38285,SA,,,0,
1765974771.392403,66,192.168.189.133,192.168.189.128,38285,21,A,,,0,
1765974771.3994937,86,192.168.189.128,192.168.189.133,21,38285,PA,,,220,(vsFTPd 2.3.4)
