frame.time_epoch,frame.len,ip.src,ip.dst,tcp.srcport,tcp.dstport,tcp.flags,ftp.request.command,ftp.request.arg,ftp.response.code,ftp.response.arg
1765976564.2190351,74,10.0.3.4,10.0.3.7,42293,21,S,,,0,
1765976564.221933,60,,,0,0,,,,0,
1765976564.2219458,42,,,0,0,,,,0,
1765976564.2222867,74,10.0.3.7,10.0.3.4,21,42293,SA,,,0,
1765976564.2223089,66,10.0.3.4,10.0.3.7,42293,21,A,,,0,
1765976564.2236016,86,10.0.3.7,10.0.3.4,21,42293,PA,,,220,(vsFTPd 2.3.4)
1765976564.2236423,66,10.0.3.4,10.0.3.7,42293,21,A,,,0,
1765976564.223909,77,10.0.3.4,10.0.3.7,42293,21,PA,USER,root,0,
1765976564.224235,66,10.0.3.7,10.0.3.4,21,42293,A,,,0,
1765976564.2242353,100,10.0.3.7,10.0.3.4,21,42293,PA,,,331,Please specify the password.
1765976564.2255683,83,10.0.3.4,10.0.3.7,42293,21,PA,PASS,rootpasswd,0,
1765976564.2625427,66,10.0.3.7,10.0.3.4,21,42293,A,,,0,
1765976567.5740082,88,10.0.3.7,10.0.3.4,21,42293,PA,,,530,Login incorrect.
1765976567.574603,66,10.0.3.4,10.0.3.7,42293,21,FA,,,0,
1765976567.5752363,76,10.0.3.7,10.0.3.4,21,42293,PA,,,500,OOPS:
1765976567.5752368,96,10.0.3.7,10.0.3.4,21,42293,PA,,,0,
1765976567.5753112,54,10.0.3.4,10.0.3.7,42293,21,R,,,0,
1765976567.5753565,54,10.0.3.4,10.0.3.7,42293,21,R,,,0,
1765976567.5756054,90,10.0.3.7,10.0.3.4,21,42293,FPA,,,500,OOPS: child died
1765976567.5756266,54,10.0.3.4,10.0.3.7,42293,21,R,,,0,
1765976567.578955,74,10.0.3.4,10.0.3.7,38039,21,S,,,0,
1765976567.5792332,74,10.0.3.7,10.0.3.4,21,38039,SA,,,0,
1765976567.5792444,66,10.0.3.4,10.0.3.7,38039,21,A,,,0,
1765976567.5802548,86,10.0.3.7,10.0.3.4,21,38039,PA,,,220,(vsFTPd 2.3.4)
1765976567.580263,66,10.0.3.4,10.0.3.7,38039,21,A,,,0,
1765976567.580364,77,10.0.3.4,10.0.3.7,38039,21,PA,USER,root,0,
1765976567.5806565,66,10.0.3.7,10.0.3.4,21,38039,A,,,0,
1765976567.5806565,100,10.0.3.7,10.0.3.4,21,38039,PA,,,331,Please specify the password.
1765976567.580708,80,10.0.3.4,10.0.3.7,38039,21,PA,PASS,12hrs37,0,
1765976567.6125467,66,10.0.3.7,10.0.3.4,21,38039,A,,,0,
1765976570.4829469,88,10.0.3.7,10.0.3.4,21,38039,PA,,,530,Login incorrect.
1765976570.4832063,66,10.0.3.4,10.0.3.7,38039,21,FA,,,0,
1765976570.483702,76,10.0.3.7,10.0.3.4,21,38039,PA,,,500,OOPS:
1765976570.4837022,96,10.0.3.7,10.0.3.4,21,38039,PA,,,0,
1765976570.4837313,54,10.0.3.4,10.0.3.7,38039,21,R,,,0,
1765976570.483757,54,10.0.3.4,10.0.3.7,38039,21,R,,,0,
1765976570.4838703,90,10.0.3.7,10.0.3.4,21,38039,FPA,,,500,OOPS: child died
1765976570.4838839,54,10.0.3.4,10.0.3.7,38039,21,R,,,0,
1765976570.4858303,74,10.0.3.4,10.0.3.7,42949,21,S,,,0,
1765976570.4862835,74,10.0.3.7,10.0.3.4,21,42949,SA,,,0,
1765976570.4863112,66,10.0.3.4,10.0.3.7,42949,21,A,,,0,
1765976570.4887283,86,10.0.3.7,10.0.3.4,21,42949,PA,,,220,(vsFTPd 2.3.4)
1765976570.4887702,66,10.0.3.4,10.0.3.7,42949,21,A,,,0,
1765976570.489111,78,10.0.3.4,10.0.3.7,42949,21,PA,USER,admin,0,
1765976570.4894986,66,10.0.3.7,10.0.3.4,21,42949,A,,,0,
1765976570.489729,100,10.0.3.7,10.0.3.4,21,42949,PA,,,331,Please specify the password.
1765976570.4898765,78,10.0.3.4,10.0.3.7,42949,21,PA,PASS,admin,0,
1765976570.5221322,66,10.0.3.7,10.0.3.4,21,42949,A,,,0,
1765976573.462737,88,10.0.3.7,10.0.3.4,21,42949,PA,,,530,Login incorrect.
1765976573.4630466,66,10.0.3.4,10.0.3.7,42949,21,FA,,,0,
1765976573.4636037,76,10.0.3.7,10.0.3.4,21,42949,PA,,,500,OOPS:
1765976573.4636042,96,10.0.3.7,10.0.3.4,21,42949,PA,,,0,
1765976573.4636421,54,10.0.3.4,10.0.3.7,42949,21,R,,,0,
1765976573.4636738,54,10.0.3.4,10.0.3.7,42949,21,R,,,0,
1765976573.4638312,90,10.0.3.7,10.0.3.4,21,42949,FPA,,,500,OOPS: child died
1765976573.4638486,54,10.0.3.4,10.0.3.7,42949,21,R,,,0,
1765976573.4665961,74,10.0.3.4,10.0.3.7,35225,21,S,,,0,
1765976573.4671192,74,10.0.3.7,10.0.3.4,21,35225,SA,,,0,
1765976573.4671566,66,10.0.3.4,10.0.3.7,35225,21,A,,,0,
1765976573.4777555,86,10.0.3.7,10.0.3.4,21,35225,PA,,,220,(vsFTPd 2.3.4)
1765976573.4777768,66,10.0.3.4,10.0.3.7,35225,21,A,,,0,
1765976573.4782004,83,10.0.3.4,10.0.3.7,35225,21,PA,USER,localadmin,0,
1765976573.4784954,66,10.0.3.7,10.0.3.4,21,35225,A,,,0,
1765976573.4784954,100,10.0.3.7,10.0.3.4,21,35225,PA,,,331,Please specify the password.
1765976573.4785578,83,10.0.3.4,10.0.3.7,35225,21,PA,PASS,localadmin,0,
1765976573.5127816,66,10.0.3.7,10.0.3.4,21,35225,A,,,0,
1765976576.8628151,88,10.0.3.7,10.0.3.4,21,35225,PA,,,530,Login incorrect.
1765976576.8629649,66,10.0.3.4,10.0.3.7,35225,21,FA,,,0,
1765976576.8631055,76,10.0.3.7,10.0.3.4,21,35225,PA,,,500,OOPS:
1765976576.8631055,96,10.0.3.7,10.0.3.4,21,35225,PA,,,0,
1765976576.8631215,54,10.0.3.4,10.0.3.7,35225,21,R,,,0,
1765976576.8631346,54,10.0.3.4,10.0.3.7,35225,21,R,,,0,
1765976576.864158,74,10.0.3.4,10.0.3.7,33811,21,S,,,0,
1765976576.8642628,74,10.0.3.7,10.0.3.4,21,33811,SA,,,0,
1765976576.864274,66,10.0.3.4,10.0.3.7,33811,21,A,,,0,
1765976576.8651898,86,10.0.3.7,10.0.3.4,21,33811,PA,,,220,(vsFTPd 2.3.4)
1765976576.8652003,66,10.0.3.4,10.0.3.7,33811,21,A,,,0,
1765976576.8653193,78,10.0.3.4,10.0.3.7,33811,21,PA,USER,admin,0,
1765976576.8654218,66,10.0.3.7,10.0.3.4,21,33811,A,,,0,
1765976576.865473,100,10.0.3.7,10.0.3.4,21,33811,PA,,,331,Please specify the password.
1765976576.865529,77,10.0.3.4,10.0.3.7,33811,21,PA,PASS,1234,0,
1765976576.9023874,66,10.0.3.7,10.0.3.4,21,33811,A,,,0,
1765976579.3323228,88,10.0.3.7,10.0.3.4,21,33811,PA,,,530,Login incorrect.
1765976579.332583,66,10.0.3.4,10.0.3.7,33811,21,FA,,,0,
1765976579.3332922,76,10.0.3.7,10.0.3.4,21,33811,PA,,,500,OOPS:
1765976579.3332927,96,10.0.3.7,10.0.3.4,21,33811,PA,,,0,
1765976579.3333452,54,10.0.3.4,10.0.3.7,33811,21,R,,,0,
1765976579.3333848,54,10.0.3.4,10.0.3.7,33811,21,R,,,0,
1765976579.3335567,90,10.0.3.7,10.0.3.4,21,33811,FPA,,,500,OOPS: child died
1765976579.3335729,54,10.0.3.4,10.0.3.7,33811,21,R,,,0,
1765976579.3377564,74,10.0.3.4,10.0.3.7,42621,21,S,,,0,
1765976579.3380427,74,10.0.3.7,10.0.3.4,21,42621,SA,,,0,
1765976579.3380632,66,10.0.3.4,10.0.3.7,42621,21,A,,,0,
1765976579.3390796,86,10.0.3.7,10.0.3.4,21,42621,PA,,,220,(vsFTPd 2.3.4)
1765976579.3390877,66,10.0.3.4,10.0.3.7,42621,21,A,,,0,
1765976579.3391957,76,10.0.3.4,10.0.3.7,42621,21,PA,USER,apc,0,
1765976579.3394446,66,10.0.3.7,10.0.3.4,21,42621,A,,,0,
1765976579.3394449,100,10.0.3.7,10.0.3.4,21,42621,PA,,,331,Please specify the password.
1765976579.3396199,76,10.0.3.4,10.0.3.7,42621,21,PA,PASS,apc,0,
1765976579.3729138,66,10.0.3.7,10.0.3.4,21,42621,A,,,0,
1765976582.0818431,88,10.0.3.7,10.0.3.4,21,42621,PA,,,530,Login incorrect.
1765976582.0820508,66,10.0.3.4,10.0.3.7,42621,21,FA,,,0,
1765976582.0825388,76,10.0.3.7,10.0.3.4,21,42621,PA,,,500,OOPS:
1765976582.082539,96,10.0.3.7,10.0.3.4,21,42621,PA,,,0,
1765976582.082578,54,10.0.3.4,10.0.3.7,42621,21,R,,,0,
1765976582.0826008,54,10.0.3.4,10.0.3.7,42621,21,R,,,0,
1765976582.08267,90,10.0.3.7,10.0.3.4,21,42621,FPA,,,500,OOPS: child died
1765976582.082676,54,10.0.3.4,10.0.3.7,42621,21,R,,,0,
1765976582.0838025,74,10.0.3.4,10.0.3.7,46681,21,S,,,0,
1765976582.084126,74,10.0.3.7,10.0.3.4,21,46681,SA,,,0,
1765976582.0841434,66,10.0.3.4,10.0.3.7,46681,21,A,,,0,
1765976582.0855696,86,10.0.3.7,10.0.3.4,21,46681,PA,,,220,(vsFTPd 2.3.4)
1765976582.0855827,66,10.0.3.4,10.0.3.7,46681,21,A,,,0,
1765976582.0857465,78,10.0.3.4,10.0.3.7,46681,21,PA,USER,admin,0,
1765976582.086082,66,10.0.3.7,10.0.3.4,21,46681,A,,,0,
1765976582.086082,100,10.0.3.7,10.0.3.4,21,46681,PA,,,331,Please specify the password.
1765976582.0861633,76,10.0.3.4,10.0.3.7,46681,21,PA,PASS,nas,0,
1765976582.122179,66,10.0.3.7,10.0.3.4,21,46681,A,,,0,
1765976585.5713928,88,10.0.3.7,10.0.3.4,21,46681,PA,,,530,Login incorrect.
1765976585.5716262,66,10.0.3.4,10.0.3.7,46681,21,FA,,,0,
1765976585.5718334,76,10.0.3.7,10.0.3.4,21,46681,PA,,,500,OOPS:
1765976585.5718334,96,10.0.3.7,10.0.3.4,21,46681,PA,,,0,
1765976585.5718515,54,10.0.3.4,10.0.3.7,46681,21,R,,,0,
1765976585.5718627,54,10.0.3.4,10.0.3.7,46681,21,R,,,0,
1765976585.572004,90,10.0.3.7,10.0.3.4,21,46681,FPA,,,500,OOPS: child died
1765976585.5720253,54,10.0.3.4,10.0.3.7,46681,21,R,,,0,
1765976585.573777,74,10.0.3.4,10.0.3.7,41591,21,S,,,0,
1765976585.5741556,74,10.0.3.7,10.0.3.4,21,41591,SA,,,0,
1765976585.574171,66,10.0.3.4,10.0.3.7,41591,21,A,,,0,
1765976585.5753925,86,10.0.3.7,10.0.3.4,21,41591,PA,,,220,(vsFTPd 2.3.4)
1765976585.5754175,66,10.0.3.4,10.0.3.7,41591,21,A,,,0,
1765976585.5756114,77,10.0.3.4,10.0.3.7,41591,21,PA,USER,Root,0,
1765976585.5759861,66,10.0.3.7,10.0.3.4,21,41591,A,,,0,
1765976585.5759864,100,10.0.3.7,10.0.3.4,21,41591,PA,,,331,Please specify the password.
1765976585.5761142,77,10.0.3.4,10.0.3.7,41591,21,PA,PASS,wago,0,
1765976585.6112287,66,10.0.3.7,10.0.3.4,21,41591,A,,,0,
1765976588.9418893,88,10.0.3.7,10.0.3.4,21,41591,PA,,,530,Login incorrect.
1765976588.9420981,66,10.0.3.4,10.0.3.7,41591,21,FA,,,0,
1765976588.9425066,76,10.0.3.7,10.0.3.4,21,41591,PA,,,500,OOPS:
1765976588.9425068,96,10.0.3.7,10.0.3.4,21,41591,PA,,,0,
1765976588.942535,54,10.0.3.4,10.0.3.7,41591,21,R,,,0,
1765976588.9425583,54,10.0.3.4,10.0.3.7,41591,21,R,,,0,
1765976588.9426875,90,10.0.3.7,10.0.3.4,21,41591,FPA,,,500,OOPS: child died
1765976588.9427004,54,10.0.3.4,10.0.3.7,41591,21,R,,,0,
1765976588.944408,74,10.0.3.4,10.0.3.7,44011,21,S,,,0,
1765976588.9447975,74,10.0.3.7,10.0.3.4,21,44011,SA,,,0,
1765976588.944828,66,10.0.3.4,10.0.3.7,44011,21,A,,,0,
1765976588.946969,86,10.0.3.7,10.0.3.4,21,44011,PA,,,220,(vsFTPd 2.3.4)
1765976588.9469879,66,10.0.3.4,10.0.3.7,44011,21,A,,,0,
1765976588.9472275,78,10.0.3.4,10.0.3.7,44011,21,PA,USER,Admin,0,
1765976588.9476404,66,10.0.3.7,10.0.3.4,21,44011,A,,,0,
1765976588.9476407,100,10.0.3.7,10.0.3.4,21,44011,PA,,,331,Please specify the password.
1765976588.9477556,77,10.0.3.4,10.0.3.7,44011,21,PA,PASS,wago,0,
1765976588.9817114,66,10.0.3.7,10.0.3.4,21,44011,A,,,0,
1765976591.3934014,88,10.0.3.7,10.0.3.4,21,44011,PA,,,530,Login incorrect.
1765976591.3936517,66,10.0.3.4,10.0.3.7,44011,21,FA,,,0,
1765976591.394103,76,10.0.3.7,10.0.3.4,21,44011,PA,,,500,OOPS:
1765976591.3941033,96,10.0.3.7,10.0.3.4,21,44011,PA,,,0,
1765976591.3941393,54,10.0.3.4,10.0.3.7,44011,21,R,,,0,
1765976591.3941696,54,10.0.3.4,10.0.3.7,44011,21,R,,,0,
1765976591.3965652,74,10.0.3.4,10.0.3.7,36713,21,S,,,0,
1765976591.3969388,74,10.0.3.7,10.0.3.4,21,36713,SA,,,0,
1765976591.3969696,66,10.0.3.4,10.0.3.7,36713,21,A,,,0,
1765976591.3991828,86,10.0.3.7,10.0.3.4,21,36713,PA,,,220,(vsFTPd 2.3.4)
1765976591.3992038,66,10.0.3.4,10.0.3.7,36713,21,A,,,0,
1765976591.399451,77,10.0.3.4,10.0.3.7,36713,21,PA,USER,User,0,
1765976591.3998816,66,10.0.3.7,10.0.3.4,21,36713,A,,,0,
1765976591.3998818,100,10.0.3.7,10.0.3.4,21,36713,PA,,,331,Please specify the password.
1765976591.4000182,77,10.0.3.4,10.0.3.7,36713,21,PA,PASS,user,0,
1765976591.43192,66,10.0.3.7,10.0.3.4,21,36713,A,,,0,
1765976594.4613178,88,10.0.3.7,10.0.3.4,21,36713,PA,,,530,Login incorrect.
1765976594.461872,66,10.0.3.4,10.0.3.7,36713,21,FA,,,0,
1765976594.4622192,76,10.0.3.7,10.0.3.4,21,36713,PA,,,500,OOPS:
